timestamp,byterate,packNum
0,633309999,56
1,622079999,54
2,379149999,41
3,221769999,27
4,256299999,26
5,331079999,38
6,87849999,13
7,431089999,45
8,227719999,32
9,152409999,18
10,269119999,35
11,560289999,52
12,131459999,16
13,178279999,27
14,388619999,45
15,207079999,33
16,376179999,47
17,390869999,39
18,670609999,58
19,350479999,35
20,627879999,61
21,536339999,53
22,905079999,79
23,744709999,62
24,640669999,52
25,464999999,47
26,476389999,46
27,340079999,48
28,309929999,33
29,299459999,36
30,600469999,58
31,337699999,37
32,1100199999,86
33,437879999,50
34,662589999,60
35,548609999,54
36,627759999,51
37,773979999,66
38,869269999,74
39,500889999,48
40,819039999,68
41,274359999,33
42,628819999,54
43,595279999,62
44,606939999,60
45,815779999,68
46,1078119999,84
47,822679999,68
48,1125109999,83
49,1094169999,94
50,938399999,79
51,1042489999,86
52,1120979999,93
53,466739999,66
54,228129999,32
55,354079999,36
56,349789999,44
57,342209999,42
58,106329999,23
59,394149999,45
60,625919999,58
61,212699999,36
62,632939999,64
63,666129999,63
64,269409999,34
65,281349999,33
66,437849999,44
67,512419999,50
68,314839999,38
69,647109999,67
70,619699999,56
71,522419999,49
72,665209999,52
73,526529999,45
74,582289999,54
75,809249999,68
76,782429999,72
77,682569999,70
78,884389999,79
79,920589999,80
80,1128399999,89
81,1093709999,102
82,1130399999,88
83,1129849999,86
84,1129769999,97
85,810519999,73
86,1016679999,81
87,773259999,73
88,839319999,73
89,979359999,81
90,742489999,65
91,827249999,73
92,732379999,64
93,600619999,63
94,460109999,56
95,705099999,66
96,652909999,50
97,566169999,52
98,922689999,79
99,650579999,52
100,852649999,70
101,913829999,78
102,559919999,56
103,579399999,53
104,588659999,57
105,508059999,56
106,670949999,61
107,917189999,75
108,853089999,77
109,780259999,61
110,942379999,81
111,1001529999,83
112,850529999,75
113,1051169999,84
114,1136069999,87
115,890359999,78
116,905859999,72
117,560699999,54
118,344749999,43
119,564839999,52
120,664159999,59
121,496729999,52
122,289239999,37
123,523309999,46
124,473829999,49
125,533259999,49
126,605379999,57
127,285029999,32
128,374789999,45
129,613559999,65
130,749169999,66
131,1051249999,84
132,393419999,44
133,668629999,64
134,848539999,72
135,476529999,54
136,920959999,80
137,739229999,75
138,1056179999,84
139,622859999,60
140,711449999,63
141,677809999,56
142,783749999,68
143,635539999,55
144,695439999,59
145,504409999,48
146,490909999,46
147,378709999,37
148,459229999,46
149,493459999,49
150,378259999,36
151,285389999,29
152,241449999,33
153,496459999,47
154,315679999,38
155,321599999,28
156,578169999,58
157,436959999,43
158,634389999,59
159,771909999,68
160,323659999,40
161,280219999,36
162,461849999,45
163,736249999,66
164,846419999,78
165,459789999,45
166,619209999,58
167,887279999,74
168,508189999,43
169,1012269999,87
170,518169999,48
171,540529999,58
172,252559999,31
173,450889999,49
174,211839999,25
175,744719999,62
176,572869999,55
177,736129999,73
178,649629999,55
179,246369999,28
180,582939999,55
181,649959999,58
182,650389999,60
183,342169999,38
184,389899999,39
185,665799999,64
186,916849999,78
187,731549999,66
188,600659999,61
189,707919999,65
